Date,Ticker,Z-Score,Z-Score_avg,Z-Score_hi,Z-Score_lo
2025-12-05,DLTR,-0.03,-0.37,0.11,-0.85
2025-12-04,DOC,-0.71,-0.84,-0.66,-1.01
2025-12-05,DOC,-0.96,-0.84,-0.66,-1.01
2025-12-04,DOV,0.71,0.64,0.74,0.53
2025-12-05,DOV,0.56,0.64,0.74,0.53
2025-12-04,DOW,0.71,0.6,0.76,0.44
2025-12-05,DOW,0.49,0.6,0.76,0.44
2025-12-04,DPZ,0.71,0.87,1.1,0.64
2025-12-05,DPZ,1.03,0.87,1.1,0.64
2025-12-04,DRI,0.71,0.25,0.9,-0.4
2025-12-05,DRI,-0.21,0.25,0.9,-0.4
2025-12-04,DTE,-0.71,-0.79,-0.68,-0.9
2025-12-05,DTE,-0.87,-0.79,-0.68,-0.9
2025-12-04,DUK,0.71,0.78,0.88,0.68
2025-12-05,DUK,0.85,0.78,0.88,0.68
2025-12-04,DVA,-0.71,-0.32,0.22,-0.87
2025-12-05,DVA,0.06,-0.32,0.22,-0.87
2025-12-04,DVN,-0.71,-0.77,-0.69,-0.85
2025-12-05,DVN,-0.83,-0.77,-0.69,-0.85
2025-12-04,DXCM,-0.71,-0.68,-0.63,-0.72
2025-12-05,DXCM,-0.64,-0.68,-0.63,-0.72
2025-12-04,EA,-0.71,-0.75,-0.69,-0.81
2025-12-05,EA,-0.79,-0.75,-0.69,-0.81
2025-12-04,EBAY,-0.71,-0.75,-0.7,-0.79
2025-12-05,EBAY,-0.78,-0.75,-0.7,-0.79
2025-12-04,EC,-0.71,-0.51,-0.23,-0.79
2025-12-05,EC,-0.31,-0.51,-0.23,-0.79
2025-12-04,ECH,0.71,0.76,0.84,0.69
2025-12-05,ECH,0.82,0.76,0.84,0.69
2025-12-04,ECL,0.71,-0.19,1.08,-1.46
2025-12-05,ECL,-1.09,-0.19,1.08,-1.46
2025-12-04,ED,-0.71,0.22,1.54,-1.1
2025-12-05,ED,1.15,0.22,1.54,-1.1
2025-12-04,EDEN,-0.71,-0.03,0.93,-0.99
2025-12-05,EDEN,0.65,-0.03,0.93,-0.99
2025-12-04,EDV,0.71,0.65,0.73,0.57
2025-12-05,EDV,0.59,0.65,0.73,0.57
2025-12-04,EFNL,0.71,0.83,0.99,0.66
2025-12-05,EFNL,0.94,0.83,0.99,0.66
2025-12-04,EFX,-0.71,-0.93,-0.62,-1.23
2025-12-05,EFX,-1.14,-0.93,-0.62,-1.23
2025-12-04,EG,-0.71,0.22,1.54,-1.1
2025-12-05,EG,1.15,0.22,1.54,-1.1
2025-12-04,EIDO,-0.71,-0.79,-0.68,-0.9
2025-12-05,EIDO,-0.87,-0.79,-0.68,-0.9
2025-12-04,EIRL,-0.71,-0.74,-0.7,-0.78
2025-12-05,EIRL,-0.77,-0.74,-0.7,-0.78
2025-12-04,EIS,0.71,0.74,0.77,0.7
2025-12-05,EIS,0.76,0.74,0.77,0.7
2025-12-04,EIX,-0.71,-0.7,-0.69,-0.71
2025-12-05,EIX,-0.69,-0.7,-0.69,-0.71
2025-12-04,EL,-0.71,-0.79,-0.68,-0.9
2025-12-05,EL,-0.87,-0.79,-0.68,-0.9
2025-12-04,ELV,0.71,0.9,1.17,0.63
2025-12-05,ELV,1.09,0.9,1.17,0.63
2025-12-04,EME,0.71,0.73,0.76,0.7
2025-12-05,EME,0.75,0.73,0.76,0.7
2025-12-04,EMN,-0.71,-0.39,0.05,-0.84
2025-12-05,EMN,-0.08,-0.39,0.05,-0.84
2025-12-04,EMR,-0.71,-0.76,-0.69,-0.83
2025-12-05,EMR,-0.81,-0.76,-0.69,-0.83
2025-12-04,ENZL,0.71,0.59,0.76,0.41
2025-12-05,ENZL,0.46,0.59,0.76,0.41
2025-12-04,EOG,-0.71,-0.76,-0.69,-0.83
2025-12-05,EOG,-0.81,-0.76,-0.69,-0.83
2025-12-04,EPAM,-0.71,-0.91,-0.63,-1.18
2025-12-05,EPAM,-1.1,-0.91,-0.63,-1.18
2025-12-04,EPHE,0.71,0.93,1.24,0.62
2025-12-05,EPHE,1.15,0.93,1.24,0.62
2025-12-04,EPOL,-0.71,-0.8,-0.67,-0.92
2025-12-05,EPOL,-0.88,-0.8,-0.67,-0.92
2025-12-04,EPU,-0.71,-0.63,-0.5,-0.75
2025-12-05,EPU,-0.54,-0.63,-0.5,-0.75
2025-12-04,EQIX,-0.71,0.19,1.46,-1.08
2025-12-05,EQIX,1.09,0.19,1.46,-1.08
2025-12-04,EQR,0.71,0.69,0.72,0.66
2025-12-05,EQR,0.67,0.69,0.72,0.66
2025-12-04,EQT,-0.71,-0.8,-0.67,-0.92
2025-12-05,EQT,-0.88,-0.8,-0.67,-0.92
2025-12-04,ERIE,0.71,0.93,1.23,0.62
2025-12-05,ERIE,1.14,0.93,1.23,0.62
2025-12-04,ES,0.71,0.57,0.77,0.38
2025-12-05,ES,0.44,0.57,0.77,0.38
2025-12-04,ES=F,0.71,0.2,0.92,-0.52
2025-12-05,ES=F,-0.31,0.2,0.92,-0.52
2025-12-04,ESS,0.71,0.55,0.78,0.32
2025-12-05,ESS,0.39,0.55,0.78,0.32
2025-12-04,ETN,-0.71,-0.86,-0.65,-1.07
2025-12-05,ETN,-1.01,-0.86,-0.65,-1.07
2025-12-04,ETR,-0.71,-0.78,-0.68,-0.88
2025-12-05,ETR,-0.85,-0.78,-0.68,-0.88
2025-12-04,EVRG,-0.71,-0.78,-0.68,-0.89
2025-12-05,EVRG,-0.86,-0.78,-0.68,-0.89
2025-12-04,EW,0.71,0.54,0.78,0.31
2025-12-05,EW,0.38,0.54,0.78,0.31
2025-12-04,EWA,0.71,0.9,1.17,0.63
2025-12-05,EWA,1.09,0.9,1.17,0.63
2025-12-04,EWC,0.71,0.08,0.97,-0.8
2025-12-05,EWC,-0.54,0.08,0.97,-0.8
2025-12-04,EWD,0.71,0.5,0.8,0.19
2025-12-05,EWD,0.28,0.5,0.8,0.19
2025-12-04,EWG,-0.71,-0.77,-0.69,-0.85
2025-12-05,EWG,-0.83,-0.77,-0.69,-0.85
2025-12-04,EWH,0.71,-0.13,1.06,-1.31
2025-12-05,EWH,-0.96,-0.13,1.06,-1.31
2025-12-04,EWI,0.71,0.66,0.73,0.59
2025-12-05,EWI,0.61,0.66,0.73,0.59
2025-12-04,EWJ,0.71,0.54,0.78,0.31
2025-12-05,EWJ,0.38,0.54,0.78,0.31
2025-12-04,EWK,0.71,0.89,1.14,0.64
2025-12-05,EWK,1.07,0.89,1.14,0.64
2025-12-04,EWL,0.71,0.08,0.97,-0.81
2025-12-05,EWL,-0.55,0.08,0.97,-0.81
2025-12-04,EWM,0.71,0.56,0.77,0.36
2025-12-05,EWM,0.42,0.56,0.77,0.36
2025-12-04,EWN,0.71,0.54,0.78,0.31
2025-12-05,EWN,0.38,0.54,0.78,0.31
2025-12-04,EWO,-0.71,-0.37,0.11,-0.85
2025-12-05,EWO,-0.03,-0.37,0.11,-0.85
2025-12-04,EWP,0.71,0.82,0.96,0.67
2025-12-05,EWP,0.92,0.82,0.96,0.67
2025-12-04,EWQ,-0.71,-0.63,-0.5,-0.75
2025-12-05,EWQ,-0.54,-0.63,-0.5,-0.75
2025-12-04,EWS,-0.71,-0.52,-0.24,-0.79
2025-12-05,EWS,-0.32,-0.52,-0.24,-0.79
2025-12-04,EWT,0.71,0.75,0.81,0.69
2025-12-05,EWT,0.79,0.75,0.81,0.69
2025-12-04,EWU,-0.71,0.2,1.47,-1.08
2025-12-05,EWU,1.1,0.2,1.47,-1.08
2025-12-04,EWW,-0.71,-0.9,-0.63,-1.16
2025-12-05,EWW,-1.08,-0.9,-0.63,-1.16
2025-12-04,EWY,0.71,0.7,0.72,0.67
2025-12-05,EWY,0.68,0.7,0.72,0.67
2025-12-04,EWZ,-0.71,0.22,1.54,-1.1
2025-12-05,EWZ,1.15,0.22,1.54,-1.1
2025-12-04,EXC,-0.71,0.21,1.5,-1.09
2025-12-05,EXC,1.12,0.21,1.5,-1.09
2025-12-04,EXE,-0.71,-0.78,-0.68,-0.89
2025-12-05,EXE,-0.86,-0.78,-0.68,-0.89
2025-12-04,EXPD,0.71,-0.17,1.07,-1.41
2025-12-05,EXPD,-1.05,-0.17,1.07,-1.41
2025-12-04,EXPE,0.71,0.68,0.72,0.64
2025-12-05,EXPE,0.65,0.68,0.72,0.64
2025-12-04,EXR,0.71,0.75,0.81,0.69
2025-12-05,EXR,0.79,0.75,0.81,0.69
2025-12-04,F,-0.71,-0.76,-0.69,-0.84
2025-12-05,F,-0.82,-0.76,-0.69,-0.84
2025-12-04,FANG,-0.71,-0.48,-0.15,-0.81
2025-12-05,FANG,-0.25,-0.48,-0.15,-0.81
2025-12-04,FAST,-0.71,0.17,1.41,-1.07
2025-12-05,FAST,1.05,0.17,1.41,-1.07
2025-12-04,FCX,-0.71,-0.82,-0.67,-0.96
2025-12-05,FCX,-0.92,-0.82,-0.67,-0.96
2025-12-04,FDS,0.71,0.93,1.24,0.62
