Date,Ticker,daily_return_pct,daily_return_avg_pct,daily_return_hi_pct,daily_return_lo_pct
2025-12-04,BAX,-0.0217,-0.0071,0.0051,-0.0193
2025-12-05,BAX,0.0032,-0.0071,0.0051,-0.0193
2025-12-02,BBY,-0.0304,-0.01,0.004,-0.024
2025-12-03,BBY,-0.0068,-0.01,0.004,-0.024
2025-12-04,BBY,-0.0043,-0.01,0.004,-0.024
2025-12-05,BBY,0.0015,-0.01,0.004,-0.024
2025-12-02,BDX,-0.007,0.0028,0.0126,-0.0069
2025-12-03,BDX,0.0163,0.0028,0.0126,-0.0069
2025-12-04,BDX,0.001,0.0028,0.0126,-0.0069
2025-12-05,BDX,0.001,0.0028,0.0126,-0.0069
2025-12-02,BEN,-0.0053,0.0095,0.0226,-0.0037
2025-12-03,BEN,0.0263,0.0095,0.0226,-0.0037
2025-12-04,BEN,0.0056,0.0095,0.0226,-0.0037
2025-12-05,BEN,0.0112,0.0095,0.0226,-0.0037
2025-12-02,BF.B,0.0057,0.0058,0.0207,-0.0092
2025-12-03,BF.B,0.0067,0.0058,0.0207,-0.0092
2025-12-04,BF.B,-0.013,0.0058,0.0207,-0.0092
2025-12-05,BF.B,0.0236,0.0058,0.0207,-0.0092
2025-12-02,BG,-0.0038,-0.0073,-0.0049,-0.0097
2025-12-03,BG,-0.0079,-0.0073,-0.0049,-0.0097
2025-12-04,BG,-0.0094,-0.0073,-0.0049,-0.0097
2025-12-05,BG,-0.0081,-0.0073,-0.0049,-0.0097
2025-12-02,BIIB,0.0135,0.0049,0.0121,-0.0022
2025-12-03,BIIB,0.0032,0.0049,0.0121,-0.0022
2025-12-04,BIIB,0.0068,0.0049,0.0121,-0.0022
2025-12-05,BIIB,-0.0037,0.0049,0.0121,-0.0022
2025-12-02,BK,0.0024,0.0049,0.0089,0.0009
2025-12-03,BK,0.009,0.0049,0.0089,0.0009
2025-12-04,BK,0.0076,0.0049,0.0089,0.0009
2025-12-05,BK,0.0006,0.0049,0.0089,0.0009
2025-12-02,BKNG,0.0497,0.0156,0.0469,-0.0157
2025-12-03,BKNG,-0.0171,0.0156,0.0469,-0.0157
2025-12-04,BKNG,-0.004,0.0156,0.0469,-0.0157
2025-12-05,BKNG,0.0338,0.0156,0.0469,-0.0157
2025-12-02,BKR,-0.0136,-0.0047,0.0161,-0.0255
2025-12-03,BKR,0.0204,-0.0047,0.0161,-0.0255
2025-12-04,BKR,0.0024,-0.0047,0.0161,-0.0255
2025-12-05,BKR,-0.0279,-0.0047,0.0161,-0.0255
2025-12-02,BLDR,-0.0095,-0.0069,0.0141,-0.0279
2025-12-03,BLDR,0.0209,-0.0069,0.0141,-0.0279
2025-12-04,BLDR,-0.03,-0.0069,0.0141,-0.0279
2025-12-05,BLDR,-0.009,-0.0069,0.0141,-0.0279
2025-12-02,BLK,-0.0013,0.0078,0.0291,-0.0135
2025-12-03,BLK,0.0397,0.0078,0.0291,-0.0135
2025-12-04,BLK,-0.004,0.0078,0.0291,-0.0135
2025-12-05,BLK,-0.0032,0.0078,0.0291,-0.0135
2025-12-02,BMY,-0.0189,0.0152,0.0467,-0.0164
2025-12-03,BMY,0.0562,0.0152,0.0467,-0.0164
2025-12-04,BMY,0.0194,0.0152,0.0467,-0.0164
2025-12-05,BMY,0.0039,0.0152,0.0467,-0.0164
2025-12-02,BR,0.0047,0.006,0.0105,0.0014
2025-12-03,BR,0.0125,0.006,0.0105,0.0014
2025-12-04,BR,0.0018,0.006,0.0105,0.0014
2025-12-05,BR,0.0049,0.006,0.0105,0.0014
2025-12-02,BRK.B,-0.0037,-0.002,0.0015,-0.0056
2025-12-03,BRK.B,-0.006,-0.002,0.0015,-0.0056
2025-12-04,BRK.B,-0.0007,-0.002,0.0015,-0.0056
2025-12-05,BRK.B,0.0022,-0.002,0.0015,-0.0056
