Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-12-16,FDX,FEDEX ,Industrials,Industrials,-7.9,86.9,94.8
2025-12-16,FE,FIRSTENERGY CORP.,Utilities,Utilities,-58.9,10.1,69.0
2025-12-16,FFIV,"F5, INC.",Information Technology,Information Technology,81.3,97.4,16.1
2025-12-16,FICO,FAIR ISAAC ,Information Technology,Information Technology,-34.9,55.8,90.7
2025-12-16,FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,Financials,-9.3,81.2,90.5
2025-12-16,FISV,"FISERV, INC.",Financials,Financials,35.7,91.5,55.8
2025-12-16,FITB,FIFTH THIRD BANCORP,Financials,Financials,33.1,99.4,66.3
2025-12-16,FOXA,FOX ,Communication Services,Communication Services,50.8,90.1,39.3
2025-12-16,FRO,FRONTLINE PLC,,MR Discretion,-20.6,3.4,24.0
2025-12-16,FRT,FEDERAL REALTY INVESTMENT TRUST,Real Estate,Real Estate,0.6,87.5,86.9
2025-12-16,FSLR,"FIRST SOLAR, INC.",Information Technology,Information Technology,-36.1,48.6,84.7
2025-12-16,FTI,TECHNIPFMC PLC,,MR Discretion,-34.9,40.3,75.2
2025-12-16,FTNT,"FORTINET, INC.",Information Technology,Information Technology,20.8,51.2,30.4
2025-12-16,FTV,FORTIVE ,Industrials,Industrials,14.0,95.0,81.0
2025-12-16,FVX,5 YR TSY YLD NDX,Yields,Yields,29.6,41.3,11.7
2025-12-16,FXA,INVESCO:AU DOLLAR,,Currencies,47.6,84.3,36.7
2025-12-16,FXB,INVESCO:GBP STERLING,,Currencies,25.4,79.6,54.2
2025-12-16,FXC,INVESCO:CANADIAN DOLLAR,,Currencies,36.1,87.9,51.8
2025-12-16,FXE,INVESCO:EURO,,Currencies,13.9,28.4,14.5
2025-12-16,FXY,INVESCO:JAPANESE YEN,,Currencies,34.3,53.0,18.7
2025-12-16,GD,GENERAL DYNAMICS ,Industrials,Industrials,4.9,23.2,18.3
2025-12-16,GDDY,GODADDY INC.,Information Technology,Information Technology,-7.7,61.9,69.6
2025-12-16,GDX,VANECK:GOLD MINERS,,Commodities,0.8,71.4,70.6
2025-12-16,GDXJ,VANECK:JR GOLD MINERS,,Commodities,4.0,78.8,74.8
2025-12-16,GE,GENERAL ELECTRIC COMPANY,Industrials,Industrials,25.0,33.5,8.5
2025-12-16,GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,Health Care,13.7,98.2,84.5
2025-12-16,GEN,GEN DIGITAL INC.,Information Technology,Information Technology,22.2,86.7,64.5
2025-12-16,GEOS,GEOSPACE TECHNOLOGIES ,,MR Discretion,30.2,37.3,7.1
2025-12-16,GEV,GE VERNOVA INC.,Industrials,Industrials,15.6,71.0,55.4
2025-12-16,GGB,GERDAU SA,,MR Discretion,18.6,86.5,67.9
2025-12-16,GILD,"GILEAD SCIENCES, INC.",Health Care,Health Care,-67.5,8.9,76.4
2025-12-16,GIS,"GENERAL MILLS, INC.",Consumer Staples,Consumer Staples,-10.8,70.2,81.0
2025-12-16,GL,GLOBE LIFE INC.,Financials,Financials,35.5,85.3,49.8
2025-12-16,GLATF,GLOBAL ATOMIC ,,MR Discretion,20.8,84.1,63.3
2025-12-16,GLD,SPDR GOLD,Gold,Commodities,18.4,81.9,63.5
2025-12-16,GLW,CORNING INC.,Information Technology,Information Technology,29.4,50.8,21.4
