Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-09-01,MLM,32.3,55.2,71.6,38.9
2025-10-01,MLM,61.0,55.2,71.6,38.9
2025-11-01,MLM,48.1,55.2,71.6,38.9
2025-12-01,MLM,40.3,55.2,71.6,38.9
2026-01-01,MLM,51.8,55.2,71.6,38.9
2026-02-01,MLM,63.9,55.2,71.6,38.9
2024-11-01,MMM,10.7,17.1,22.4,11.7
2024-12-01,MMM,10.2,17.1,22.4,11.7
2025-01-01,MMM,26.0,17.1,22.4,11.7
2025-02-01,MMM,13.7,17.1,22.4,11.7
2025-03-01,MMM,15.6,17.1,22.4,11.7
2025-04-01,MMM,26.7,17.1,22.4,11.7
2025-05-01,MMM,17.1,17.1,22.4,11.7
2025-06-01,MMM,11.3,17.1,22.4,11.7
2025-07-01,MMM,18.6,17.1,22.4,11.7
2025-08-01,MMM,16.2,17.1,22.4,11.7
2025-09-01,MMM,11.7,17.1,22.4,11.7
2025-10-01,MMM,24.4,17.1,22.4,11.7
2025-11-01,MMM,13.2,17.1,22.4,11.7
2025-12-01,MMM,16.2,17.1,22.4,11.7
2026-01-01,MMM,21.1,17.1,22.4,11.7
2026-02-01,MMM,23.2,17.1,22.4,11.7
2024-11-01,MNST,5.0,6.2,8.2,4.3
2024-12-01,MNST,5.5,6.2,8.2,4.3
2025-01-01,MNST,5.5,6.2,8.2,4.3
2025-02-01,MNST,10.7,6.2,8.2,4.3
2025-03-01,MNST,5.1,6.2,8.2,4.3
2025-04-01,MNST,5.6,6.2,8.2,4.3
2025-05-01,MNST,5.8,6.2,8.2,4.3
2025-06-01,MNST,3.0,6.2,8.2,4.3
2025-07-01,MNST,6.1,6.2,8.2,4.3
2025-08-01,MNST,8.7,6.2,8.2,4.3
2025-09-01,MNST,5.5,6.2,8.2,4.3
2025-10-01,MNST,4.8,6.2,8.2,4.3
2025-11-01,MNST,9.4,6.2,8.2,4.3
2025-12-01,MNST,6.1,6.2,8.2,4.3
2026-01-01,MNST,8.4,6.2,8.2,4.3
2026-02-01,MNST,3.2,6.2,8.2,4.3
2024-11-01,MO,4.6,5.5,7.8,3.1
2024-12-01,MO,6.4,5.5,7.8,3.1
2025-01-01,MO,3.7,5.5,7.8,3.1
2025-02-01,MO,4.7,5.5,7.8,3.1
2025-03-01,MO,4.7,5.5,7.8,3.1
2025-04-01,MO,7.3,5.5,7.8,3.1
2025-05-01,MO,5.2,5.5,7.8,3.1
2025-06-01,MO,2.7,5.5,7.8,3.1
2025-07-01,MO,5.5,5.5,7.8,3.1
2025-08-01,MO,6.9,5.5,7.8,3.1
2025-09-01,MO,4.1,5.5,7.8,3.1
2025-10-01,MO,10.8,5.5,7.8,3.1
